,Category,Headlines,Summary,DateTime,Url
1,Business,Hauliers want priority for perishable goods at Dover,Drivers say deliveries of produce like meat are losing quality and value in long waits at the port.,"Sun, 10 Apr 2022 07:47:03 GMT",https://www.bbc.co.uk/news/business-61053402?at_medium=RSS&at_campaign=KARANGA
2,Business,"AI-assisted digital out of home media will be the biggest disruptor, says Signpost chief",Firm eyes listing through merger with Pressman Advertising,"Sat, 09 Apr 2022 23:05:43 +0530",https://www.thehindu.com/business/ai-assisted-digital-out-of-home-media-will-be-the-biggest-disruptor-says-signpost-chief/article65306973.ece
3,Business,Elon Musk Proposes Dogecoin For Twitter's Premium Subscription Payment,"Elon Musk, Twitter Inc's biggest shareholder, on Saturday suggested a raft of changes to the social media giant's Twitter Blue premium subscription service, including slashing its price, banning...","Sun, 10 Apr 2022 17:25:57 +0530",https://www.ndtv.com/business/dogecoin-for-twitters-blue-premium-subscription-payment-proposes-elon-musk-2875733
4,Business,New Russia Sanctions Include Crypto Wallets Target by EU,"The European Union on Friday targeted crypto wallets, banks, currencies and trusts in its fifth package of sanctions on Russia in a bid to close potential loopholes which could allow Russians to move...","Sun, 10 Apr 2022 17:13:54 +0530",https://www.ndtv.com/business/new-russia-sanctions-include-crypto-wallets-target-by-eu-2875709
5,Business,"No Plans To Regulate Metaverse, Web 3.0: Government","The government has made it clear that it has no plans to apply any regulations on Metaverse or Web 3.0, as these technologies are still evolving.","Sun, 10 Apr 2022 16:53:13 +0530",https://www.ndtv.com/business/no-plans-to-regulate-metaverse-web-3-0-government-2875671
6,Business,Reliance Capital's Lenders And Admin Disagree About Resolution Plan,Differences have emerged between the lenders and the RBI-appointed administrator of debt-ridden Reliance Capital Ltd (RCL) over the resolution process of the company's different subsidiaries or...,"Sun, 10 Apr 2022 16:32:33 +0530",https://www.ndtv.com/business/rbi-appointed-admin-and-lenders-disagree-about-reliance-capitals-resolution-plan-2875634
7,Business,"FX Markets Tell Central Banks' ""Go Hard Or Go Home,"": ING","The trades in foreign exchange markets point to an aggressive Federal Reserve as the primary driver, and the Russia-Ukraine conflict is further hurting the currency listed on the other side of the...","Sun, 10 Apr 2022 16:07:45 +0530",https://www.ndtv.com/business/fx-markets-tell-central-banks-go-hard-or-go-home-ing-2875588
8,Business,Jump In Gold Imports By A Third To $46.14 Billion In 2021-22,"India's gold imports, which have a bearing on the country's current account deficit (CAD), rose by 33.34 per cent to $46.14 billion during the 2021-22 fiscal on higher demand, according to official...","Sun, 10 Apr 2022 14:51:21 +0530",https://www.ndtv.com/business/gold-imports-surge-to-usd-46-14-bn-in-2021-22-2875389
9,Business,IT Refund: Here's How To Know The Status On The New Income Tax Portal,Income Tax Refund: The income tax e-filing portal can be used to verify the status of a refund.,"Sun, 10 Apr 2022 14:42:09 +0530",https://www.ndtv.com/business/how-to-know-your-income-tax-refund-status-on-the-new-income-tax-portal-2875374
10,Business,Earnings And Macro Data Will Drive Holiday-Shortened Market Week: Experts,"Quarterly earnings from IT majors TCS and Infosys, macroeconomic data announcements, and global trends would be the significant guiding factors for the equity market in a holiday-shortened week ahead,...","Sun, 10 Apr 2022 14:26:01 +0530",https://www.ndtv.com/business/q4-earnings-macro-data-global-trends-to-drive-markets-in-holiday-shortened-week-say-experts-2875351
11,Business,NDA Government's Development Expenditure Far Higher Than Under UPA Regime,"Finance Minister Nirmala Sitharaman, in a series of tweets, said comparative data on development expenditure and subsidies showed that during the Narendra Modi-led NDA (National Democratic Alliance)...","Sun, 10 Apr 2022 13:53:31 +0530",https://www.ndtv.com/business/nda-governments-development-expenditure-and-subsidies-far-higher-than-under-upa-regime-nirmala-sitharaman-2875258
12,Business,RBI Revises Inflation Forecasts. Here's What Uday Kotak Has To Say,The CEO of Kotak Mahindra Bank tweeted about the decisions taken by the RBI.,"Sun, 10 Apr 2022 11:27:55 +0530",https://www.ndtv.com/business/as-rbi-revises-inflation-forecasts-uday-kotak-expresses-concern-2874998
13,Business,Government Working On FAQs On The Digital Assets' Taxation,"The government is working on a set of FAQs (Frequently Asked Questions) on the taxation of cryptocurrencies, which will give a nuanced clarification on the applicability of income tax and GST on...","Sun, 10 Apr 2022 10:50:11 +0530",https://www.ndtv.com/business/faq-on-taxation-of-crypto-virtual-digital-assets-in-works-2874957
14,Business,"Forget Ashneer Grover, BharatPe Posts Record Growth; To List In 2 Years","Putting behind the controversy around its co-founder Ashneer Grover, fintech startup BharatPe has posted record growth in the fiscal year ended March 31 and is on track to break even and list on stock...","Sun, 10 Apr 2022 10:41:10 +0530",https://www.ndtv.com/business/bharatpe-puts-behind-grover-episode-posts-record-growth-2874943
15,Business,"After 6 Months, Foreign Portfolio Investors Turn Net Buyers In April","FPI Investment: After a six-month selling spree, foreign investors have turned net buyers in April so far by infusing Rs 7,707 crore in Indian equities as a correction in markets provided them with a...","Sun, 10 Apr 2022 10:21:31 +0530",https://www.ndtv.com/business/fpis-turn-net-buyers-in-april-so-far-invest-rs-7-707-cr-in-equities-2874925
16,Business,Over Rs 1 Lakh Crore Market Cap Loss For 4 Of The Top-10 Companies,"The combined market valuation of four of the 10 most valued firms tumbled Rs 1,05,848.14 crore last week, with IT majors TCS and Infosys emerging as the biggest laggards.","Sun, 10 Apr 2022 10:10:36 +0530",https://www.ndtv.com/business/four-of-top-10-cos-lose-over-rs-1-lakh-cr-in-m-cap-tcs-infy-biggest-laggards-2874915
17,Business,Check How New EPFO Guidelines Will Impact Your PF Contribution,The circular said the TDS will be deducted when the interest is paid to an EPF account.,"Sat, 09 Apr 2022 17:47:25 +0530",https://www.ndtv.com/business/new-epfo-guidelines-explain-how-contribution-above-rs-2-50-lakh-will-be-taxed-2873912
